algorithm,case,n,RMSE_w1,RMSE_w2,RMSE_μ1,RMSE_μ2,RMSE_σ1,RMSE_σ2,bias_w1,bias_w2,bias_μ1,bias_μ2,bias_σ1,bias_σ2,median_loglik
DE,1,150,7.689876816096432,7.689876816096434,9.268200214338407,9.223493330484436,21.679315939312882,21.38009418521386,-0.16015463181712375,0.16015463181712392,0.007132399119631917,-0.0009461215029706458,-0.47911604535359054,0.4648405293495868,-66.65836895419397
DE,1,200,7.633086378686414,7.633086378686416,8.552116178661938,10.578681852181992,21.71238807135703,21.48565016814605,-0.1573351466269185,0.1573351466269185,-0.013485258231078245,-0.005627019676101576,-0.47932537569056544,0.4688633428897322,-88.66012004789553
DE,1,300,7.822200670918514,7.822200670918517,6.704039212597865,10.487571678708765,22.527157022736965,22.396776461683793,-0.1701826867187341,0.1701826867187342,0.015913343387866128,-0.008531091412883525,-0.5156403968770327,0.5078492833508715,-135.20978399598158
DE,2,30,4.30315986680267,4.30315986680267,45.63930465043462,45.848010534452065,5.083658082201235,5.1473020047750495,0.0012537172646174266,-0.0012537172646174821,1.032497232064334,-1.0285881284456135,-0.015586089137299253,-0.0215333208716047,-35.612908968067345
DE,2,50,3.1330398336782563,3.1330398336782563,44.21453242658447,44.09591219300748,3.5078723642921137,3.4651783858289105,-0.004031011938153306,0.0040310119381533616,0.9716149339300828,-0.9723341349866836,-0.01567586903203594,-0.010502609983106037,-60.75297741274927
DE,2,100,2.2526947930498062,2.2526947930498062,44.09727249668653,43.856034645248855,2.3670953798747756,2.3715146079771934,0.0014448950157304186,-0.0014448950157303075,0.9640855847905884,-0.9550718461907747,-0.005560160220450194,-0.006096680523024256,-124.70513888327821
DE,2,150,1.6816057198909622,1.6816057198909622,43.629584310870676,43.63628916653976,1.7562541924738133,1.7426036600674386,-0.0002220533812083425,0.00022205338120839802,0.9497583834602586,-0.9481558367582499,-0.0026496129187709716,-0.004608762246234022,-187.90719394062214
DE,2,200,1.1870077722837773,1.1870077722837773,45.05725643850761,45.073811717662096,1.2394346917199703,1.2355426009246233,0.0005989949798076433,-0.0005989949798076988,1.013928671066801,-1.0146978559608568,-0.003294425412617763,-0.005745648136888937,-250.91619006849874
DE,2,300,1.1670819947850863,1.1670819947850866,44.494611055546585,44.363881130075264,1.1823074036510524,1.294783069795953,0.0008125495879054423,-0.0008125495879053868,0.986675065219418,-0.9854854572386011,-0.0031052205189714965,-0.0008561083020056648,-378.1934709581876
DE,3,30,11.269527679079047,11.269527679079047,34.13983225998655,39.330679688009724,20.314512264622614,17.78655908975273,-0.24949803046698849,0.24949803046698854,0.6007858131759186,-0.8606696192921318,-0.48608665049168565,0.38660410308071963,-35.73398085627736
DE,3,50,11.24630382609871,11.246303826098712,34.04450499541452,37.451712763856285,20.22149119387134,18.979638515056216,-0.24980684438304646,0.24980684438304657,0.7043581724831832,-0.8318297334310847,-0.474656768782707,0.419821967421321,-61.99350540766298
DE,3,100,11.313903569858008,11.31390356985801,34.412385961799345,35.596165585688176,20.22595557774249,19.500100227441532,-0.2510316235207003,0.2510316235207003,0.7378684054033513,-0.7892476394992177,-0.462493276100604,0.4337945052155601,-126.57495564068739
DE,3,150,11.42166134932406,11.42166134932406,34.60184132124377,36.228358315682414,20.26259679015854,19.960932902055067,-0.2563205286263316,0.2563205286263316,0.7512249846022131,-0.8074902455145513,-0.4633129913641426,0.44807915166423257,-191.21022542130538
DE,3,200,11.25868148687716,11.25868148687716,33.952015882066824,34.5953726493493,19.936810731036584,19.681044310689135,-0.24907330529117555,0.24907330529117555,0.7383105599135199,-0.7608338289073159,-0.4480223002898648,0.4370044884006918,-257.10664445899806
DE,3,300,11.425362175066399,11.4253621750664,34.73862302891879,36.18113674506394,20.24428983648267,20.034681405592988,-0.2572831542893965,0.25728315428939663,0.7490413554683464,-0.8037440491741706,-0.4610178145669539,0.45270868625075394,-385.0266606192488
DE,4,30,11.233416968885997,11.233416968885996,41.28550034016268,34.72740228486672,18.009082362591524,20.245852122951206,0.24538633665155662,-0.24538633665155662,0.9039571405859033,-0.5849130679308138,0.39041182425808557,-0.49490604817448025,-35.490016780210155
